type,positive,passive,sum,positive_per,passive_per,rate
ENFJ,7028,4037,11065,0.635155897,0.364844103,1.740896705
ENFP,24129,14733,38862,0.620889301,0.379110699,1.637751985
ENTJ,7400,5857,13257,0.55819567,0.44180433,1.26344545
ENTP,22189,17197,39386,0.563372772,0.436627228,1.290283189
ESFJ,1557,857,2414,0.644987572,0.355012428,1.8168028
ESFP,1482,1000,2482,0.597099114,0.402900886,1.482
ESTJ,1321,911,2232,0.591845878,0.408154122,1.450054885
ESTP,2809,2121,4930,0.569776876,0.430223124,1.324375295
INFJ,29918,19714,49632,0.602796583,0.397203417,1.517601704
INFP,17112,11638,28750,0.5952,0.4048,1.470355731
INTJ,23191,18566,41757,0.555379936,0.444620064,1.249111279
INTP,22762,19535,42297,0.538146913,0.461853087,1.165190683
ISFJ,5781,3536,9317,0.620478695,0.379521305,1.63489819
ISFP,9243,5774,15017,0.615502431,0.384497569,1.600796675
ISTJ,6468,4719,11187,0.578171091,0.421828909,1.370629371
ISTP,10298,8353,18651,0.552141976,0.447858024,1.232850473
